idade,altura,sexo,cor_da_pele,cabelo2,usa_oculos_lente,genero_de_filme_ou_serie_favorito,genero_estilo_musical_favorito,hobby_passatempo_favorito,linguagem_de_programacao_favorita,sistema_operacional_desktop_utilizado,sistema_operacional_mobile_utilizado,ide_ambiente_de_desenvolvimento_integrado_favorito,navegador_favorito,voce_quer_ser_qual_stack,vai_se_formar_esse_ano_por_voce_sem_contar_decisao_de_professores,terminou_o_terceiro_ano_em_escola_publica,ja_tem_uma_graduacao,esta_em_um_relacionamento_afetivo_nao_e_estado_civil,estagiando_trabalhando_qualquer_atividade_remunerada_conta_ex_bolsista_pet,estado_civil,cidade_de_origem_sem_estado,mora_com_os_pais,tem_irmaos_irmas,tem_animal_de_estimacao,tem_cnh_carteira_nacional_de_habilitacao,dirige_ou_pilota_veiculos_automotores
18 - 20,"1,71 - 1,80",Masculino,Branca,Ondulado,Sim,Ficção Científica,Trap Rap,Assistir séries,Java,Windows,Android,Visual Studio,Chrome,Back-End,Sim,Sim,Não,Não,Sim,Solteiro(a),São Paulo,Sim,Sim,Sim,Sim,Sim
18 - 20,"1,71 - 1,80",Masculino,Parda,Cacheado/Encaracolado,Sim,Romance,MPB,Jogar,Python,Windows,Android,VS Code,Brave,Back-End,Sim,Sim,Não,Sim,Sim,Solteiro(a),Água Doce,Sim,Sim,Sim,Não,Não
> 24,"1,61, - 1,70",Masculino,Negra,Cacheado/Encaracolado,Não,Terror,Pop,Cantar,Python,Windows,Android,VS Code,Opera GX,Front-End,Sim,Não,Sim,Sim,Sim,Solteiro(a),Parnaíba,Não,Sim,Não,Não,Sim
> 24,"1,61, - 1,70",Masculino,Parda,Liso,Não,Terror,Rock,Games,TypeScript,Windows,Android,VS Code,Chrome,Full-Stack,Não,Sim,Não,Sim,Não,Solteiro(a),Parnaiba,Sim,Sim,Sim,Não,Sim
18 - 20,">1,80",Masculino,Parda,Ondulado,Não,Animação,Pop,Instrumentos,Java,Windows,Android,IntelliJ,Brave,Full-Stack,Sim,Não,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Sim,Sim
18 - 20,"1,71 - 1,80",Masculino,Negra,Cacheado/Encaracolado,Não,Ação,Hip Hop,Jogar,TypeScript,Linux,iOS,VS Code,Edge,Full-Stack,Sim,Não,Não,Sim,Sim,Solteiro(a),Parnaiba,Sim,Não,Sim,Não,Sim
18 - 20,"1,71 - 1,80",Masculino,Branca,Liso,Sim,Fantasia,Hip Hop,Jogar,Java,Linux,Android,VS Code,Brave,Back-End,Sim,Sim,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Não,Não
18 - 20,"1,61, - 1,70",Masculino,Branca,Liso,Sim,Fantasia,Pop,Assistir,Python,Linux,Android,VS Code,Firefox,Full-Stack,Sim,Não,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Não,Sim,Não,Sim
18 - 20,"1,61, - 1,70",Masculino,Branca,Ondulado,Não,Aventura,Rock,Desenhar,C,Linux,Android,Nvim,Brave,Full-Stack,Sim,Não,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Não,Sim
18 - 20,"1,61, - 1,70",Masculino,Branca,Cacheado/Encaracolado,Não,Comédia,MPB,Futebol,Python,Windows,Android,VS Code,Chrome,Back-End,Sim,Não,Não,Sim,Sim,Solteiro(a),Anapurus,Não,Sim,Sim,Não,Sim
18 - 20,"1,71 - 1,80",Masculino,Branca,Ondulado,Não,Terror,Rock,Jogar,TypeScript,Linux,iOS,VS Code,Chrome,Full-Stack,Sim,Sim,Não,Sim,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Sim,Sim
> 24,"1,61, - 1,70",Masculino,Branca,Liso,Sim,Fantasia,Rock,Desenhar,Python,Windows,Android,VS Code,Brave,Front-End,Sim,Sim,Não,Não,Sim,Solteiro(a),Piracuruca,Sim,Sim,Sim,Não,Não
21 - 22,">1,80",Masculino,Parda,Cacheado/Encaracolado,Não,Drama,Rock,Tocar guitarra,Python,Windows,Android,VS Code,Chrome,Full-Stack,Sim,Sim,Não,Não,Sim,Solteiro(a),Teresina,Sim,Sim,Não,Não,Não
18 - 20,"1,71 - 1,80",Masculino,Branca,Ondulado,Não,Fantasia,Rock,Jogar,TypeScript,Windows,Android,VS Code,Brave,Full-Stack,Sim,Sim,Não,Não,Sim,Solteiro(a),Luzilândia,Não,Sim,Sim,Não,Não
18 - 20,"1,61, - 1,70",Masculino,Negra,Cacheado/Encaracolado,Não,Animação,Rap,Jiu-jitsu,TypeScript,Windows,Android,VS Code,Brave,Full-Stack,Sim,Sim,Não,Não,Sim,Solteiro(a),Ilha Grande-Pi,Sim,Sim,Sim,Sim,Sim
> 24,"1,61, - 1,70",Feminino,Negra,Ondulado,Não,Romance,Sertanejo,Ler,Python,Linux,Android,VS Code,Firefox,Front-End,Sim,Sim,Não,Sim,Sim,Casado(a),Parnaíba,Não,Sim,Sim,Não,Sim
18 - 20,"1,71 - 1,80",Masculino,Parda,Ondulado,Sim,Aventura,Rock,Videogame,Python,Windows,iOS,VS Code,Chrome,Full-Stack,Sim,Não,Não,Não,Não,Solteiro(a),Tutóia,Não,Sim,Não,Não,Não
18 - 20,"1,61, - 1,70",Masculino,Parda,Liso,Não,Ação,Gospel,Futebol,Python,Linux,Android,VS Code,Brave,Full-Stack,Sim,Não,Não,Sim,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Sim,Sim
23 -24,"1,61, - 1,70",Masculino,Negra,Cacheado/Encaracolado,Não,Ficção Científica,Hip Hop,Games,Python,Linux,Android,VS Code,Brave,Full-Stack,Sim,Sim,Não,Sim,Sim,Solteiro(a),Santa quitéria do maranhão,Não,Sim,Não,Sim,Sim
18 - 20,"1,61, - 1,70",Feminino,Parda,Liso,Sim,Drama,Pop,Ler,TypeScript,Linux,Android,VS Code,Chrome,Full-Stack,Sim,Sim,Não,Sim,Sim,Solteiro(a),Cocal,Não,Sim,Sim,Não,Sim
21 - 22,"1,71 - 1,80",Masculino,Parda,Ondulado,Sim,Terror,Rock,Jogar,Python,Windows,Android,VS Code,Chrome,Front-End,Sim,Não,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Não,Sim,Não,Não
18 - 20,"1,61, - 1,70",Masculino,Branca,Liso,Sim,Ficção Científica,MPB,Jogar,Python,Linux,Android,VS Code,Edge,Back-End,Sim,Não,Não,Sim,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Sim,Sim
> 24,"1,71 - 1,80",Masculino,Negra,Cacheado/Encaracolado,Não,Animação,Rock,Jogos,TypeScript,Windows,Android,VS Code,Brave,Back-End,Sim,Sim,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Não,Sim
21 - 22,">1,80",Masculino,Negra,Cacheado/Encaracolado,Não,Terror,Rock,Sinuca,Go,Linux,Android,VS Code,Chrome,Back-End,Não,Sim,Não,Não,Sim,Solteiro(a),Araioses,Não,Não,Não,Não,Sim
18 - 20,"1,71 - 1,80",Masculino,Parda,Ondulado,Sim,Ação,Pop,Programar,TypeScript,Windows,Android,VS Code,Chrome,Full-Stack,Sim,Sim,Não,Sim,Sim,Solteiro(a),Parnaíba,Sim,Não,Sim,Não,Não
18 - 20,"1,71 - 1,80",Masculino,Branca,Ondulado,Sim,Ação,Forro,Ver tiktok,Python,Windows,iOS,VS Code,Chrome,Full-Stack,Sim,Sim,Não,Não,Sim,Solteiro(a),Parnaiba,Sim,Sim,Sim,Sim,Sim
18 - 20,">1,80",Masculino,Branca,Liso,Sim,Ficção Científica,MPB,Desenho,Python,Windows,Android,VS Code,Edge,Full-Stack,Sim,Não,Não,Não,Não,Solteiro(a),Parnaíba,Sim,Sim,Sim,Não,Não
21 - 22,"1,61, - 1,70",Masculino,Parda,Ondulado,Sim,Animação,Rock,Jogar jogos virtuais,Python,Windows,Android,VS Code,Brave,Full-Stack,Sim,Sim,Não,Não,Sim,Solteiro(a),Parnaíba,Sim,Sim,Sim,Não,Sim
21 - 22,"1,61, - 1,70",Masculino,Parda,Ondulado,Não,Ação,Ecletico,Treinar,Python,Windows,Android,VS Code,Brave,Full-Stack,Sim,Sim,Não,Sim,Sim,Solteiro(a),Parnaiba,Sim,Sim,Sim,Não,Sim
21 - 22,"1,50 - 1,60",Masculino,Branca,Cacheado/Encaracolado,Sim,Terror,Eurobeat,procastinar(jogar jogos),Lua,Windows,Android,Bloco de Notas,Brave,Full-Stack,Não,Sim,Não,Não,Sim,Solteiro(a),Distrito Federal,Sim,Não,Sim,Não,Não
