idade,altura,sexo,usa_oculos_lente,vai_se_formar_esse_ano_por_voce_sem_contar_decisao_de_professores,terminou_o_terceiro_ano_em_escola_publica,ja_tem_uma_graduacao,esta_em_um_relacionamento_afetivo_nao_e_estado_civil,estagiando_trabalhando_qualquer_atividade_remunerada_conta_ex_bolsista_pet,estado_civil,mora_com_os_pais,tem_irmaos_irmas,tem_animal_de_estimacao,tem_cnh_carteira_nacional_de_habilitacao,dirige_ou_pilota_veiculos_automotores,cor_da_pele_branca,cor_da_pele_negra,cor_da_pele_parda,cabelo2_cacheado_encaracolado,cabelo2_liso,cabelo2_ondulado,genero_de_filme_ou_serie_favorito_animacao,genero_de_filme_ou_serie_favorito_aventura,genero_de_filme_ou_serie_favorito_acao,genero_de_filme_ou_serie_favorito_comedia,genero_de_filme_ou_serie_favorito_drama,genero_de_filme_ou_serie_favorito_fantasia,genero_de_filme_ou_serie_favorito_ficcao_cientifica,genero_de_filme_ou_serie_favorito_romance,genero_de_filme_ou_serie_favorito_terror,genero_estilo_musical_favorito_ecletico,genero_estilo_musical_favorito_eurobeat,genero_estilo_musical_favorito_forro,genero_estilo_musical_favorito_gospel,genero_estilo_musical_favorito_hip_hop,genero_estilo_musical_favorito_mpb,genero_estilo_musical_favorito_pop,genero_estilo_musical_favorito_rap,genero_estilo_musical_favorito_rock,genero_estilo_musical_favorito_sertanejo,genero_estilo_musical_favorito_trap_rap,hobby_passatempo_favorito_assistir,hobby_passatempo_favorito_assistir_series,hobby_passatempo_favorito_cantar,hobby_passatempo_favorito_desenhar,hobby_passatempo_favorito_desenho,hobby_passatempo_favorito_futebol,hobby_passatempo_favorito_games,hobby_passatempo_favorito_instrumentos,hobby_passatempo_favorito_jiu_jitsu,hobby_passatempo_favorito_jogar,hobby_passatempo_favorito_jogar_jogos_virtuais,hobby_passatempo_favorito_jogos,hobby_passatempo_favorito_ler,hobby_passatempo_favorito_programar,hobby_passatempo_favorito_sinuca,hobby_passatempo_favorito_tocar_guitarra,hobby_passatempo_favorito_treinar,hobby_passatempo_favorito_ver_tiktok,hobby_passatempo_favorito_videogame,hobby_passatempo_favorito_procastinar_jogar_jogos,linguagem_de_programacao_favorita_c,linguagem_de_programacao_favorita_go,linguagem_de_programacao_favorita_java,linguagem_de_programacao_favorita_lua,linguagem_de_programacao_favorita_python,linguagem_de_programacao_favorita_typescript,sistema_operacional_desktop_utilizado_linux,sistema_operacional_desktop_utilizado_windows,sistema_operacional_mobile_utilizado_android,sistema_operacional_mobile_utilizado_ios,ide_ambiente_de_desenvolvimento_integrado_favorito_bloco_de_notas,ide_ambiente_de_desenvolvimento_integrado_favorito_intellij,ide_ambiente_de_desenvolvimento_integrado_favorito_nvim,ide_ambiente_de_desenvolvimento_integrado_favorito_vs_code,ide_ambiente_de_desenvolvimento_integrado_favorito_visual_studio,navegador_favorito_brave,navegador_favorito_chrome,navegador_favorito_edge,navegador_favorito_firefox,navegador_favorito_opera_gx,voce_quer_ser_qual_stack_back_end,voce_quer_ser_qual_stack_front_end,voce_quer_ser_qual_stack_full_stack,cidade_de_origem_sem_estado_anapurus,cidade_de_origem_sem_estado_araioses,cidade_de_origem_sem_estado_cocal,cidade_de_origem_sem_estado_distrito_federal,cidade_de_origem_sem_estado_ilha_grande_pi,cidade_de_origem_sem_estado_luzilandia,cidade_de_origem_sem_estado_parnaiba,cidade_de_origem_sem_estado_parnaiba,cidade_de_origem_sem_estado_piracuruca,cidade_de_origem_sem_estado_santa_quiteria_do_maranhao,cidade_de_origem_sem_estado_sao_paulo,cidade_de_origem_sem_estado_teresina,cidade_de_origem_sem_estado_tutoia,cidade_de_origem_sem_estado_agua_doce
1,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
